Organization,Technologies,Topics,Selected_Students
ArduPilot,"python, lua, c++, pixhawk","robotics, Drone, autonomous vehicle, UGV, unmanned vehicle",Na
Plone Foundation,"python, javascript, react","web, cms",Na
LibreCube Initiative,"python, rest api, micropython","automation, space, Communication Protocols, Rover",Na
MetaBrainz Foundation Inc,"python, machine learning, perl, postgres, spark","machine learning, open data, music, books, music social network",Na
Internet Health Report,"python, javascript, apache kafka, VueJS","networking, routing, communication, internet, data analytics",Na
GeomScale,"python, c++, r, jupyter, github-actions","mathematics, data science, computational biology, computational geometry, statistics",Na
GNU Project,"c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools",Na
Invesalius,"python, cython, numpy, dicom, Vtk","ehealth, medical imaging, 3D Reconstruction, 3d printing, Neuronavigation",Na
Internet Archive,"python, javascript, go, elasticsearch, hadoop","library, media, archiving",Na
JSON Schema,"python, javascript, typescript, .net, JSON Schema","web, apis, standards, data validation, developer tooling",Na
sktime,"python, github, sphinx, scikit-learn","data science, ai, time series, toolbox frameworks",Na
cBioPortal for Cancer Genomics,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",Na
NixOS Foundation,"git, nix","declarative, reproducible, InfrastrucutreAsCode",Na
GNU Radio,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio",Na
Waycrate,"c, c++, rust, wayland, Zig","graphics, Wayland, ScreenCapture, Wayland Compositor, Desktop Portals",Na
AsyncAPI,"javascript, java, go, typescript, RAML","web, api, cloud, Architectures",Na
Scala Center,"scala, scala.js, scala native","education, compilers, tooling",Na
The FreeBSD Project,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",Na
VideoLAN,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",Na
API Dash,"flutter, api, nosql, dart","testing, api, developer tools, automation, app development",Na
FreeType,"c, autotools, meson","library, rendering, fonts, opentype, truetype",Na
City of Boston,"python, javascript","web, machine learning, gis, civic tech, analytics",Na
Synfig,"python, c++, gtk, gtkmm","2d/3d graphics, animation, vector graphics",Na
Open Chemistry,"python, javascript, opengl, c++, c++14","data science, graphics, scientific visualization, cheminformatics, quantum chemistry",Na
Open Science Initiative for Perfusion Imaging,"python, github","data visualization, data analysis, medical imaging, reproducible science",Na
Unikraft,"c, xen, golang, kvm, assembly language","virtualization, cloud, software reuse, software configurability",Na
The P4 Language Consortium,"c++, cmake, bazel, grpc, protobuf","networking, programming language, compiler, formal verification, programmable data plane",Na
CHIPS Alliance,"fpga, chisel, risc-v, systemverilog, ASIC","soc, IP cores, ASIC design, HDL, chiplets",Na
mlpack,"c++, C++ template metaprogramming","machine learning, embedded, ai, deep learning, Neural networks",Na
MetaCall,"python, c++, rust, nodejs, docker","cloud, polyglot, faas, languages, ffi",Na
Debian,"c, python, java, ruby, perl","web, robotics, graphics, cloud, SDR",Na
INCF,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",Na
Learning Equality,"python, javascript, django, vue.js","education, distributed databases, offline, learning",Na
Apertium,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",Na
DBpedia,"python, javascript, java, scala, rdf","semantic web, linked data, knowledge graph, data extraction, largelanguagemodel",Na
"Department of Biomedical Informatics, Emory University","python, javascript, java, dicom, Colab","science and medicine, data integration, workflows, radiology, ML/AL",Na
caMicroscope,"python, javascript, mongodb, opencv, node","data visualization, image analysis, AI/ML, microscopy, dicom pathology",Na
Alaska,"python, mysql, java, matlab, dicom","deep learning, neuroscience, radiology, heathcare, Polar Science",Na
Ste||ar group,"c++, hpc","library, optimization, parallel algorithms, hpx, application",Na
HumanAI,"python, machine learning, c++, data analysis, artificial intelligence","machine learning, artificial intelligence, ai, Arts, Humanities",Na
KolibriOS Project Team,"c, assembly, asm, fasm, pci","kernel, operating system, drivers, OS, low-level",Na
OSGeo (Open Source Geospatial Foundation),"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",Na
libssh,"c, ci, ssh","security, cryptography",Na
Swift,"c++, cmake, swift","compilers, cross-platform, Packages, Server development, Standard Libraries",Na
Ceph,"python, javascript, c++","distributed systems, Software-Defined-Storage",Na
Free and Open Source Silicon Foundation,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",Na
Wikimedia Foundation,"javascript, html, php, css, Phyton","semantic web, wikipedia, wikimedia, mediawiki, i18n",Na
MariaDB,"python, javascript, c/c++, perl, databases","Database Engines, SQL Features",Na
Sugar Labs,"python, gtk, typescript, javascipt","education, games, desktop",Na
The NetBSD Foundation,"c, shell script, make, unix, bsd","kernel, packaging, userland, unix, bsd",Na
AboutCode,"python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",Na
CNCF,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",Na
Open HealthCare Network,"python, django, react, typescript, NextJs","electronic medical records, Digital Public Goods, Pandemic Response and Management, Telemedicine and Remote Care, AI in Health",Na
NumFOCUS,"python, c++, r, julia","data science, graphics, scientific computing, numerical computation",Na
SymPy,"python, numpy, jupyter","mathematics, physics, symbolic mathematics",Na
Polypheny,"javascript, java, sql, angular","database, big data, cloud, polystore, nosql",Na
Haiku,"c++, posix, unix","desktop, kernel, network, media, gui",Na
XMPP Standards Foundation,"gtk, vala, xmpp, swift, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",Na
Submitty,"python, postgresql, javascript, c++, php","education, visualization, web, privacy/security, communication",Na
The Honeynet Project,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence",Na
Zulip,"python, django, flutter, css, typescript","great developer tooling, visual design, teaching quality codebase, team chat, integrations",Na
GRAME,"c, python, javascript, c++, typescript","audio, compiler, digital signal processing, function programming language",Na
Data for the Common Good,"python, javascript, kubernetes, reactjs, terraform","web, health, data, infrastructure, software",Na
IOOS,"python, javascript, java, ocean science, Scientific Python","open data, data science, data management, Oceanography",Na
National Resource for Network Biology (NRNB),"python, javascript, java, html, r","web application, data science, graphics, scientific computing, network biology",Na
OpenMRS,"mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",Na
Kiwix,"python, c++, nodejs, kotlin, vue.js","offline, browser, compression",Na
52°North Spatial Information Research GmbH,"javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation",Na
Organic Maps,"android, java, c++, ios, OpenStreetMap","privacy, maps, navigation, mobile, offline",Na
QC-Devs,"python, github, c++, julia, jupyter","data science, scientific visualization, quantum chemistry, Computational Science, numerical algorithms",Na
Accord Project,"python, javascript, react, rust, artificial intelligence","natural language processing, data modeling, legal technology, contract management, document assembly",Na
Mautic,"mysql, php, symfony","DXP, Marketing, Marketing Automation, Digital Marketing, Digital Experience Platform",Na
GNSS-SDR,"c, c++, sdr","gnss, geolocation, navigation, software defined radio, communications",Na
